Seed 0,Seed 1,Seed 2,Seed 3,Seed 4,Seed 5
214.79778990481532,-75.2481174030099,247.71026542853866,-120.23799186267121,178.7370117612308,-19.220392654598726
-108.21847842804941,171.3234252661643,12.515606354887751,-46.55009407790803,128.6945671693523,-19.330585792954235
-19.010943705777322,-3.4542739922445564,-164.7540547115044,-247.04220894654995,130.23849521028552,-21.144541912359987
-19.69443953098032,182.00866127280466,-25.23639138466099,-327.38985947271703,230.1925471925749,-16.091011243823317
-41.200845812634505,-115.24767105044579,289.3726970288032,-168.4404113122563,259.17969608574094,-3.411273293528069
219.32217416971753,199.04448858134833,272.82060141166727,-159.00438477286448,197.4238736122216,-46.57507132516603
149.05552452462126,205.0290255182258,257.68641459346196,5.77715282559511,209.53695947991199,-21.719121634374773
177.5823412382005,210.56356920387265,1.3306737652078056,127.84033033961545,272.50281182269987,-2.832380885923783
-67.59423270848072,-44.157717664518024,-43.40203214320843,198.3863487055365,211.82924998716013,4.77258846941838
157.45809569752103,222.28482129026554,-62.438458210099455,-57.1661153874818,157.94934626757322,-2.554390082776316
-89.42729365044184,242.20611582439363,-42.00472428019338,235.56524160799546,264.97654058882506,-17.254097438890106
-50.556859322246325,222.58100177911098,-62.80522016068438,-280.61364901821776,164.70627152623388,-61.51607791085669
-124.66848450540509,224.32891733066194,-74.62530243392482,-79.81291510109206,179.58585562961758,-80.35600877677298
211.56392868831662,200.2490807649203,-63.9496746715606,-203.00866209318434,198.93827117907244,-35.36227534363664
-99.58820437421,203.26055898871024,-8.007819810796196,253.92637980900673,256.57372046356625,-25.137347842750742
-64.37864589121114,244.42540558048387,170.25959912790736,-193.89639144240243,256.66716693588717,-20.875600309436333
-22.17551928101752,35.41717961358577,129.64550169973228,-157.21611499391378,-206.120609171868,-25.627350845005903
-135.49116262878889,205.77967592379517,-102.69573475012052,153.9333128560094,242.692325305105,-51.2580264086267
-203.69658689064096,-127.35970486286486,-107.337247054981,-68.04431102120189,237.25466506922268,-2.485410563164328
-79.48096481328734,201.8631212496026,-91.85139745561405,-168.56161573479514,197.13650310934943,207.01076764495423
-66.79776087130035,234.34629643016387,-72.60951109947104,-86.74213261277649,187.4809552652245,2.5617315810065553
-76.43084198792613,254.95666157854197,-28.544307274965618,-24.976386818447224,231.27485842612535,-81.149685697538
-137.11301597709746,234.81489696628984,-41.950281120996145,-18.0883124686158,248.77262005236315,1.6916019097986854
194.8119684839569,213.52235684075583,-81.60183962853398,-7.196592397756767,242.43571733051027,-15.136561937454276
-132.74202786138468,162.56946760098748,-112.53691256697435,-41.84275684012424,267.8486821729452,-31.468671408123644
-29.2903907653683,40.767470253233455,-86.40589486549858,-63.781965793435376,186.01776434666195,-35.67077944957228
-249.49020513573726,261.54617106911616,-52.953372963228745,-199.5831455209463,244.63250245384504,-74.14752725983979
130.0895332439869,218.53669699447317,-106.85086497601345,-97.80046950253833,229.81558078327936,-30.907833466158134
-20.32991657757003,188.95883124523297,-67.10826613398983,219.72131653704804,-174.75894741588593,-53.87133914993159
203.29006823658779,269.02070634088165,-82.72997146823474,-59.023280299142684,24.898726864622432,-36.597078893932625
231.36293696615425,262.042468984246,-79.38785557534203,-62.01170394674826,253.52027046201704,-28.07793090585258
28.477203908383814,242.26247390606895,-72.5195542983434,203.57125026778436,198.15711114993303,-35.29970146217387
-142.29676497058307,276.12126170185957,-20.009970786251657,-147.36154925293786,263.9678994578629,51.497609655292365
178.25088777856826,268.34881450665887,177.3474375177204,-36.19262249023406,284.82724503899306,-151.7142354521216
195.72734837755087,258.2194159283317,-37.00559681352198,-83.28999620763562,188.29884182662985,-25.508925885029235
206.26755813505582,229.32703678922047,-64.8211935166784,-70.79763912644097,191.15818261844345,-56.086009640696965
-92.70870899645102,271.2730964129063,227.70319080669827,235.0396260805814,251.1107405637697,-25.62662772833766
-282.0403130747974,226.59939634361282,-75.08195486100871,219.93065739439098,275.23852190672085,-30.78310364931796
-201.3257190637937,295.743999019968,-66.11968465910755,188.2686653281964,225.1049463056837,-76.19395545648815
180.46281146387076,250.6926313181617,-19.10956478972806,-36.67500173930417,275.3582511631025,-93.17366899075006
248.64642759343718,274.8659505673845,-53.53339384531868,-173.16924741757964,189.90219595940005,-43.560398604938555
160.75914150250065,265.65529389917265,266.026021807349,-96.90229653774063,211.11742890367032,-10.450972084191024
206.01084852403835,226.67328523931934,-178.13692399563115,-305.3171683975542,-22.766721093893906,-45.29533377143127
32.206175127149805,24.688449575455437,224.41717449791827,310.42759404365654,201.4704038464414,-40.28486388643112
15.261200481015138,212.69479674673755,-67.61592881468076,-165.09660999836962,215.89831138129964,-7.853550281256244
37.274608362251996,255.6200895474127,-19.681200302338024,127.59872503415511,250.87462821546953,-25.913380619322986
-3.188591428926813,-14.855446958281576,-90.66337056624042,-126.34043076442632,-50.64368151893251,-33.30298121508383
278.847693646609,257.91782929337796,-48.016141361713935,-56.92815619734773,205.70129062254978,-24.63408626194505
203.2787326795385,265.5346778227371,117.59290112557031,-129.5797533204576,166.93914213399694,-50.26853384871034
229.22760259319952,234.67730860927708,-83.76069640484118,18.83894590930825,168.46042178459513,-55.166695136481216
159.39337954135218,269.90512187163984,-9.915211771814398,-104.22690297091361,244.31340922468874,-23.09855869357474
-38.07924162276707,268.6781338697165,-63.68193375497254,295.1817312430561,206.8933430448986,-27.289197163377384
-42.678891409351614,252.19705867729095,-33.969030748813324,-150.99706722929423,235.194514096067,-32.06143961699544
-128.8843558835468,232.94372487240332,-46.48856315270766,-106.23308449050731,256.37328866344615,75.29905569439066
-31.526421460462014,234.8373420363517,-58.409834839945226,182.0541594611676,246.03617929286384,-82.07906369960848
